,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,douentza,14.9951,-2.9517,73.85,14,0,3.71,ML,1674428983
159,kavieng,-2.5744,150.7967,82.58,75,100,10.2,PG,1674428983
160,normandin,48.8333,-72.5321,26.91,95,100,2.64,CA,1674428983
161,bianzhuang,34.8486,118.0447,33.76,86,37,4.18,CN,1674428984
162,svetlogorsk,52.6333,29.7333,34.54,88,100,4.85,BY,1674428984
163,riyadh,24.6877,46.7219,55.54,56,69,8.84,SA,1674428904
164,saint-joseph,-21.3667,55.6167,73.78,87,100,6.04,RE,1674428879
165,zaysan,47.4667,84.8667,-14.62,69,6,2.86,KZ,1674428985
166,wanaka,-44.7,169.15,59.68,63,93,0.78,NZ,1674428746
167,vila franca do campo,37.7167,-25.4333,57.61,91,71,11.83,PT,1674428986
168,saint-philippe,-21.3585,55.7679,74.79,85,100,5.91,RE,1674428877
169,berlevag,70.8578,29.0864,39.2,65,0,33.38,NO,1674428986
170,kapuskasing,49.4169,-82.4331,22.15,94,100,3.02,CA,1674428783
171,narsaq,60.9167,-46.05,5.22,67,0,7.61,GL,1674428970
172,port moresby,-9.4431,147.1797,80.8,70,93,1.01,PG,1674428987
173,havelock,34.8791,-76.9013,60.93,87,100,1.01,US,1674428987
174,ribeira grande,38.5167,-28.7,61.77,75,48,20.0,PT,1674428905
175,kocser,47.0017,19.9207,37.94,89,0,9.22,HU,1674428988
176,constitucion,-35.3333,-72.4167,67.21,66,12,16.35,CL,1674428988
177,severo-kurilsk,50.6789,156.125,15.44,75,56,5.86,RU,1674428989
178,viransehir,37.2353,39.7631,45.07,51,0,3.69,TR,1674428990
179,hualmay,-11.0964,-77.6139,72.34,78,40,9.51,PE,1674428990
180,victoria,22.2855,114.1577,64.26,90,1,1.99,HK,1674428990
181,kroya,-7.6331,109.2461,75.4,92,91,4.14,ID,1674428991
182,thompson,55.7435,-97.8558,17.06,98,100,3.4,CA,1674428991
183,tautira,-17.7333,-149.15,77.9,70,100,5.48,PF,1674428992
184,emerald,-23.5333,148.1667,78.35,73,8,10.71,AU,1674428992
